calc_id,geom_id,mol_id,molecule_id,label,code,root,basis,method,omegaA,omegaB,omegaC,ijk,value
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yzy,0.0012505149257025594
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yzz,-25.75898044417795
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zxx,0.0035811291242539294
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zxy,0.0022015448591614934
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zxz,-26.003985892860065
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zyx,0.0022015448596060657
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zyy,0.0012660265850734142
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zyz,-25.758403483024217
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zzx,-26.003985892837576
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zzy,-25.758403483050834
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,zzz,7.225594971302767e-05
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xxx,87.75138616981405
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xxy,-946.6498376595537
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xxz,0.00014902427467600274
